,name,line
109,Leonard, At least I didn't have to invent twenty-six dimensions just to make the math come out.
110,Sheldon," I didn't invent them, they're there."
111,Leonard, In what universe?
112,Sheldon," In all of them, that is the point."
113,Penny," Uh, do you guys mind if I start?"
114,Sheldon," Um, Penny, that's where I sit."
115,Penny," So, sit next to me."
116,Sheldon," No, I sit there."
117,Penny, What's the difference?
118,Sheldon, What's the difference?
119,Leonard, Here we go.
120,Sheldon," In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it's directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I've made my point."
121,Penny, Do you want me to move?
122,Sheldon, Well.
123,Leonard, Just sit somewhere else.
124,Sheldon, Fine.
125,Leonard," Sheldon, sit!"
126,Sheldon, Aaah!
127,Leonard, Well this is nice. We don't have a lot of company over.
128,Sheldon, That's not true. Koothrapali and Wolowitz come over all the time.
129,Leonard," Yes I now, but..."
130,Sheldon, Tuesday night we played Klingon boggle until one in the morning.
131,Leonard," Yes, I remember."
132,Sheldon, I resent you saying we don't have company.
133,Leonard, I'm sorry.
134,Sheldon, That is an antisocial implication.
135,Leonard, I said I'm sorry.
136,Penny," So, Klingon boggle?"
137,Leonard," Yeah, it's like regular boggle but, in Klingon. That's probably enough about us, tell us about you."
138,Penny," Um, me, okay, I'm Sagittarius, which probably tells you way more than you need to know."
139,Sheldon," Yes, it tells us that you participate in the mass cultural delusion that the Sun's apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality."
140,Penny, Participate in the what?
141,Leonard," I think what Sheldon's trying to say, is that Sagittarius wouldn't have been our first guess."
142,Penny," Oh, yeah, a lot of people think I'm a water sign. Okay, let's see, what else, oh, I'm a vegetarian, oh, except for fish, and the occasional steak, I love steak."
143,Sheldon, That's interesting. Leonard can't process corn.
144,Leonard," Wu-uh, do you have some sort of a job?"
145,Penny," Oh, yeah, I'm a waitress at the Cheesecake Factory."
146,Leonard," Oh, okay. I love cheesecake."
147,Sheldon, You're lactose intolerant.
148,Leonard," I don't eat it, I just think it's a good idea."
149,Penny," Oh, anyways, I'm also writing a screenplay. It's about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory."
150,Leonard, So it's based on your life?
151,Penny," No, I'm from Omaha."
152,Leonard," Well, if that was a movie I would go see it."
153,Penny," I know, right? Okay, let's see, what else? Um, that's about it. That's the story of Penny."
154,Leonard, Well it sounds wonderful.
155,Penny, It was. Until I fell in love with a jerk.
156,Sheldon, What's happening.
157,Leonard, I don't know.
158,Penny," Oh God, you know, four years I lived with him, four years, that's like as long as High School."
159,Sheldon, It took you four years to get through High School?
160,Leonard, Don't.
161,Penny," I just, I can't believe I trusted him."
162,Leonard, Should I say something? I feel like I should say something.
163,Sheldon," You? No, you'll only make it worse."
164,Penny," You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?"
165,Sheldon, Yes.
166,Leonard," No, it's not crazy it's, uh, uh, it's a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn't make it worse."
167,Penny," Oh, I'm so sorry, I'm such a mess, and on top of everything else I'm all gross from moving and my stupid shower doesn't even work."
168,Leonard, Our shower works.
169,Penny, Really? Would it be totally weird if I used it?
170,Sheldon, Yes.
171,Leonard, No.
172,Sheldon, No?
173,Leonard, No.
174,Sheldon, No.
175,Leonard, It's right down the hall.
176,Penny, Thanks. You guys are really sweet.
177,Sheldon, Well this is an interesting development.
178,Leonard, How so?
179,Sheldon, It has been some time since we've had a woman take her clothes off in our apartment.
180,Leonard," That's not true, remember at Thanksgiving my grandmother with Alzheimer's had that episode."
181,Sheldon, Point taken. It has been some time since we've had a woman take her clothes off after which we didn't want to rip our eyes out.
182,Leonard, The worst part was watching her carve that turkey.
183,Sheldon," So, what exactly are you trying to accomplish here?"
184,Leonard, Excuse me?
185,Sheldon, That woman in there's not going to have sex with you.
186,Leonard, Well I'm not trying to have sex with her.
187,Sheldon," Oh, good. Then you won't be disappointed."
188,Leonard," What makes you think she wouldn't have sex with me, I'm a male and she's a female?"
189,Sheldon," Yes, but not of the same species."
190,Leonard," I'm not going to engage in hypotheticals here, I'm just trying to be a good neighbour."
191,Sheldon," Oh, of course."
192,Leonard, That's not to say that if a carnal relationship were to develop that I wouldn't participate. However briefly.
193,Sheldon, Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
194,Leonard, It's Darth Vader shampoo.  Luke Skywalker's the conditioner.
195,Howard, Wait till you see this.
196,Raj, It's fantastic. Unbelievable.
197,Leonard, See what?
198,Howard, It's a Stephen Hawking lecture from MIT in 1974.
199,Leonard, This is not a good time.
200,Leonard," That's great, you guys have to go."
201,Raj, Why?
202,Leonard, It's just not a good time.
203,Sheldon, Leonard has a lady over.
204,Howard," Yeah, right, your grandmother back in town?"
205,Leonard," No. And she's not a lady, she's just a new neighbour."
206,Howard," Hang on, there really is a lady here?"
207,Leonard, Uh-huh.
208,Howard, And you want us out because you're anticipating coitus?
209,Leonard, I'm not anticipating coitus.
210,Howard, So she's available for coitus?
211,Leonard, Can we please stop saying coitus?
212,Sheldon, Technically that would be coitus interruptus.
213,Penny," Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!"
214,Howard," Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, it's currently orbiting Jupiter's largest moon taking high-resolution digital photographs."
215,Penny, Penny. I work at the Cheesecake Factory.
216,Leonard," Come on, I'll show you the trick with the shower."
217,Howard, Bon douche.
218,Penny, I'm sorry?
219,Howard, It's French for good shower. It's a sentiment I can express in six languages.
220,Leonard," Save it for your blog, Howard."
221,Howard, See-ka-tong-guay-jow.
222,Leonard," Uh, there it goes, it sticks, I'm sorry."
223,Penny, Okay. Thanks.
224,Leonard," You're welcome, oh, you're going to step right, okay, I'll...."
225,Penny," Hey, Leonard?"
226,Leonard, The hair products are Sheldon's.
227,Penny," Um, okay. Can I ask you a favour."
228,Leonard," A favour? Sure, you can ask me a favour, I would do you a favour for you."
229,Penny, It's okay if you say no.
230,Leonard," Oh, I'll probably say yes."
231,Penny, It's just not the kind of thing you ask a guy you've just met.
232,Leonard, Wow.
233,Sheldon, I really think we should examine the chain of causality here.
234,Leonard, Must we?
235,Sheldon," Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman's ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
236,Leonard," She asked me to do her a favour, Sheldon."
237,Sheldon," Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause."
238,Leonard, Which is?
239,Sheldon, You think with your penis.
240,Leonard, That's a biological impossibility and you didn't have to come.
241,Sheldon," Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why can't she get her own TV."
242,Leonard," Come on, you know how it is with break-ups."
243,Sheldon, No I don't. And neither do you.
244,Leonard," Wuh, I, I broke up with Joyce Kim."
245,Sheldon," You did not break up with Joyce Kim, she defected to North Korea."
246,Leonard, To mend her broken heart. This situation is much less complicated. There's some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.
247,Sheldon, So we get to have a scene with him?
248,Leonard," No, Sheldon, there's not going to be a scene. There's two of us and one of him."
249,Sheldon," Leonard, the two of us can't even carry a TV."
250,Penny," So, you guys work with Leonard and Sheldon at the University?"
251,Penny," Uh, I'm sorry, do you speak English?"
252,Howard," Oh, he speaks English, he just can't speak to women."
253,Penny," Really, why?"
254,Howard, He's kind of a nerd. Juice box?
255,Leonard, I'll do the talking.
256,Voice from buzzer, Yeah.
257,Leonard," Hi, I'm Leonard, this is Sheldon."
258,Sheldon, Hello.
259,Leonard," What did I just.... Uh, we're here to pick up Penny's TV."
260,Voice, Get lost.
261,Sheldon," Okay, thanks for your time."
262,Leonard, We're not going to give up just like that.
263,Sheldon," Leonard, the TV is in the building, we've been denied access to the building, ergo we are done."
264,Leonard," Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
265,Sheldon, My apologies. What's your plan.
266,Sheldon, It's just a privilege to watch your mind at work.
267,Leonard," Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building."
268,Sheldon, What do you think their combined IQ is?
269,Leonard, Just grab the door.
270,Leonard, This is it.  I'll do the talking.
271,Sheldon," Good thinking, I'll just be the muscle."
272,Enormous man, Yeah?
273,Leonard," I'm Leonard, this is Sheldon."
274,Sheldon, From the intercom.
275,Man, How the hell did you get in the building?
276,Leonard, Oh. We're scientists.
277,Sheldon, Tell him about our IQ.
278,Sheldon, Leonard.
279,Leonard, What?
280,Sheldon, My mom bought me those pants.
281,Leonard, I'm sorry.
282,Sheldon, You're going to have to call her.
283,Leonard," Sheldon, I'm so sorry I dragged you through this."
284,Sheldon," It's okay. It wasn't my first pantsing, and it won't be my last."
285,Leonard," And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex."
286,Sheldon, Well you got me out of my pants.
287,Leonard," Anyway, I've learned my lesson. She's out of my league, I'm done with her, I've got my work, one day I'll win the Nobel Prize and then I'll die alone."
288,Sheldon," Don't think like that, you're not going to die alone."
289,Leonard," Thank you Sheldon, you're a good friend."
290,Sheldon, And you're certainly not going to win a Nobel Prize.
291,Howard," This is one of my favourite places to kick back after a quest, they have a great house ale."
292,Penny," Wow, cool tiger."
293,Howard," Yeah, I've had him since level ten. His name is Buttons. Anyway, if you had your own game character we could hang out, maybe go on a quest."
294,Penny," Uh, sounds interesting."
295,Howard, So you'll think about it?
296,Penny," Oh, I don't think I'll be able to stop thinking about it."
297,Raj, Smooth.
298,Leonard, We're home.
299,Penny," Oh, my God, what happened?"
300,Leonard," Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory."
301,Penny," I'm so sorry, I really thought if you guys went instead of me he wouldn't be such an ass."
302,Leonard," No, it was a valid hypothesis."
303,Sheldon, That was a valid hypothesis? What is happening to you?
304,Penny," Really, thank you so much for going and trying you're, uh, you're so terrific. Why don't you put some clothes on, I'll get my purse and dinner is on me, okay?"
305,Leonard, Really? Great.
306,Sheldon," Thank you. You're not done with her, are you?"
307,Leonard, Our babies will be smart and beautiful.
308,Sheldon, Not to mention imaginary.
309,Leonard, Is Thai food okay with you Penny?
310,Penny, Sure.
311,Sheldon," We can't have Thai food, we had Indian for lunch."
312,Penny, So?
313,Sheldon, They're both curry based cuisines.
314,Penny, So?
315,Sheldon, They would be gastronomically redundant. I can see we're going to have to spell out everything for this girl.
316,Penny, Any ideas Raj?
317,Howard, Turn left on Lake Street and head up to Colorado. I know a wonderful little sushi bar that has karaoke.
318,Penny, That sounds like fun.
319,Howard," Baby, baby don't get hooked on me. Uh, baby, baby don't get hooked on me."
320,Sheldon," I don't know what your odds are in the world as a whole, but as far as the population of this car goes, you're a veritable Mack Daddy."
321,Leonard," There you go, Pad Thai, no peanuts."
322,Howard, But does it have peanut oil?
323,Leonard," Uh, I'm not sure, everyone keep an eye on Howard in case he starts to swell up."
324,Sheldon," Since it's not bee season, you can have my epinephrine."
325,Raj, Are there any chopsticks?
326,Sheldon," You don't need chopsticks, this is Thai food."
327,Leonard, Here we go.
328,Sheldon," Thailand has had the fork since the latter half of the nineteenth century. Interestingly they don't actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth."
329,Leonard," Ask him for a napkin, I dare you.  I'll get it."
330,Howard, Do I look puffy? I feel puffy.
331,Penny, Hey Leonard.
332,Leonard," Oh, hi Penny."
333,Penny, Am I interrupting.
334,Leonard, No.
335,Sheldon," You're not swelling, Howard."
336,Howard," No, no, look at my fingers, they're like Vienna sausages."
337,Penny, Sounds like you have company.
338,Leonard," They're not going anywhere.  So, you're coming home from work. That's great. How was work."
339,Penny," Well, you know, it's the Cheesecake Factory. People order cheesecake, and I bring it to them."
340,Leonard," So, you sort of act as a carbohydrate delivery system."
341,Penny," Yeah, call it whatever you want, I get minimum wage. Yeah, anyways, I was wondering if you could help me out with something, I was...."
342,Leonard, Yes.
343,Penny," Oh. Okay, great, I'm having some furniture delivered tomorrow, and I may not be here, so....  Oh! Hel...hello!"
344,Howard, .
345,Penny, I'm sorry?
346,Howard, Haven't you ever been told how beautiful you are in flawless Russian?
347,Penny," No, I haven't."
348,Howard, Get used to it.
349,Penny," Yeah, I probably won't, but... Hey Sheldon."
350,Sheldon, Hi.
351,Penny," Hey Raj!  Still not talking to me, huh?"
352,Sheldon," Don't take it personally, it's his pathology, he can't talk to women."
353,Howard," He can't talk to attractive women, or in your case a cheesecake-scented Goddess!"
354,Leonard," So, there's gonna be some furniture delivered?"
355,Penny," Yeah, yeah, if it gets here and I'm not here tomorrow could you just sign for it and have them put it in my apartment."
356,Leonard," Yeah, no problem."
357,Penny," Great, here's my spare key. Thank you."
358,Leonard," Penny, wait."
359,Penny, Yeah?
360,Leonard," Um, if you don't have any other plans, do you want to join us for Thai food and a Superman movie marathon?"
361,Penny," A marathon? Wow, how many Superman movies are there?"
362,Sheldon," You're kidding, right?"
363,Penny," Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that?"
364,"Leonard,Sheldon and Howard together", One. .
365,Sheldon, You realise that scene was rife with scientific inaccuracy.
366,Penny," Yes, I know, men can't fly."
367,Sheldon," Oh no, let's assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces."
368,Leonard," Unless, Superman matches her speed and decelerates."
369,Sheldon," In what space, sir, in what space? She's two feet above the ground. Frankly, if he really loved her, he'd let her hit the pavement. It would be a more merciful death."
370,Leonard," Excuse me, your entire argument is predicated on the assumption that Superman's flight is a feat of strength."
371,Sheldon," Are you listening to yourself, it is well established that Superman's flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earth's yellow Sun."
372,Howard," Yeah, and you don't have a problem with that, how does he fly at night."
373,Sheldon," Uh, a combination of the moon's solar reflection and the energy storage capacity of Kryptonian skin cells."
374,Penny, I'm just going to go wash up.
375,Leonard," I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells."
376,Sheldon, Challenge accepted.  We're locked out.
377,Raj," Also, the pretty girl left."
378,Leonard," Okay, her apartment's on the fourth floor but the elevator's broken so you're going to have to  oh, you're just going to be done, okay, cool, thanks. I guess we'll just bring it up ourselves."
379,Sheldon, I hardly think so.
380,Leonard, Why not?
381,Sheldon," Well, we don't have a dolly, or lifting belts, or any measurable upper body strength."
382,Leonard," We don't need strength, we're physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, it's just a matter...  I don't have this... I don't have this I don't have this."
383,Sheldon, Archimedes would be so proud.
384,Leonard, Do you have any ideas?
385,Sheldon," Yes, but they all involve a green lantern and a power ring."
386,Leonard," Easy, easy  Okay! Now we've got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half."
387,Sheldon, Exactly half.
388,Leonard," Exactly half. Let's push. Okay, see, it's moving, this is easy, all in the math."
389,Sheldon, What's your formula for the corner.
390,Leonard," What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn."
391,Sheldon," Ah, gravity, thou art a heartless bitch."
392,Sheldon, You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?
393,Leonard, Men do things for women without expecting sex.
394,Sheldon," Yeah, those are men who just had sex."
395,Leonard," I'm doing this to be a good neighbour. In any case, there's no way it could lower the odds."
396,Leonard," Almost there, almost there, almost there."
397,Sheldon," No we're not, no we're not, no we're not."
398,Sheldon," Watch your fingers. Watch your fingers. Oh God, my fingers!"
399,Leonard, You okay?
400,Sheldon," No, it hurt...  Great Caesar's Ghost, look at this place?"
401,Leonard, So Penny's a little messy.
402,Sheldon," A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. I'm just inferring that this is a couch, because the evidence suggests the coffee table's having a tiny garage sale."
403,Leonard," Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?"
404,Sheldon, No.
405,Leonard," Well they don't. Hard as it may be for you to believe, most people don't sort their breakfast cereal numerically by fibre content."
406,Sheldon," Excuse me, but I think we've both found that helpful at times."
407,Leonard," Come on, we should go."
408,Sheldon, Hang on.
409,Leonard, What are you doing?
410,Sheldon, Straightening up.
411,Leonard," Sheldon, this is not your home."
412,Sheldon," This is not anyone's home, this is a swirling vortex of entropy."
413,Leonard," When the transvestite lived here, you didn't care how he kept the place."
414,Sheldon," Because it was immaculate, I mean, you open that man's closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms."
415,Leonard, What were you doing in his closet?
416,Sheldon, I helped run some cable for a webcam.
417,Penny, Hey guys.
418,Leonard," Oh, hey Penny, this just arrived, we just brought this up, just now."
419,Penny, Great. Was it hard getting it up the stairs?
420,Sheldon,
421,Leonard, No.
422,Sheldon, No?
423,Leonard, No.
424,Sheldon, No.
425,Leonard," Well, we'll get out of your hair."
426,Penny," Oh, great, thank you again ."
427,Sheldon," Penny, I just want you to know that, you don't have to live like this. I'm here for you."
428,Penny, What's he talking about?
429,Leonard, It's a joke.
430,Penny, I don't get it.
431,Leonard," Yeah, he didn't tell it right."
432,Leonard, Sheldon?
433,Leonard, Sheldon? Hello?
434,Leonard, Sheldon!
435,Sheldon, Sssshhhh! Penny's sleeping.
436,Leonard," Are you insane, you can't just break into a woman's apartment in the middle of the night and clean."
437,Sheldon," I had no choice. I couldn't sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was... this."
438,Leonard," Do you realise that if Penny wakes up, there is no reasonable explanation as to why we're here?"
439,Sheldon, I just gave you a reasonable explanation.
440,Leonard," No, no. You gave me an explanation, it's reasonableness will be determined by a jury of your peers."
441,Sheldon, Don't be ridiculous. I have no peers.
442,Leonard," Sheldon, we have to get out of here."
443,Sheldon, You might want to speak in a lower register.
444,Leonard, What?
445,Sheldon," Evolution has made women sensitive to high pitched noises while they sleep, so that they'll be roused by a crying baby. If you want to avoid waking her, speak in a lower register."
446,Leonard, That's ridiculous.
447,Sheldon," No,  that's ridiculous."
448,Leonard," Fine. I accept your premise, now please let's go."
449,Sheldon, I am not leaving until I'm done.
450,Leonard, O-o-o-oh! .
451,Sheldon," If you have time to lean, you have time to clean."
452,Leonard," Oh, what the hell."
453,Sheldon, Morning.
454,Leonard, Morning.
455,Sheldon," I have to say, I slept splendidly. Granted, not long, but just deeply and well."
456,Leonard, I'm not surprised. A well known folk cure for insomnia is to break into your neighbour's apartment and clean.
457,Sheldon, Sarcasm?
458,Leonard, You think?
459,Sheldon," Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Penny's quality of life."
460,Leonard," You know what, you've convinced me, maybe tonight we should sneak in and shampoo her carpet."
461,Sheldon, You don't think that crosses a line?
462,Leonard," Yes! For God's sake, Sheldon, do I have to hold up a sarcasm sign every time I open my mouth."
463,Sheldon, You have a sarcasm sign?
464,Leonard," No, I do not have a sarcasm sign."
465,Sheldon," Do you want some cereal. I'm feeling so good today I'm going to choose from the low fibre end of the shelf. Hello, Honey Puffs."
466,Penny, Son of a Bitch!
467,Leonard, Penny's up.
468,Penny," You sick, geeky bastards!"
469,Leonard, How did she know it was us?
470,Sheldon, I may have left a suggested organisational schematic for her bedroom closet.
471,Penny, Leonard!
472,Leonard," God, this is going to be bad."
473,Sheldon," Goodbye, Honey Puffs, hello Big Bran."
474,Penny, You came into my apartment last night when I was sleeping?
475,Leonard," Yes, but, only to clean."
476,Sheldon," Really more to organise, you're not actually dirty, per se."
477,Penny, Give me back my key.
478,Leonard," I'm very, very sorry."
479,Penny, Do you understand how creepy this is.
480,Leonard," Oh, yes, we discussed it at length last night."
481,Penny," In my apartment, while I was sleeping."
482,Sheldon," And snoring. And that's probably just a sinus infection, but it could be sleep apnoea, you might want to see an otolaryngologist. It's a throat doctor."
483,Penny, And what kind of doctor removes shoes from asses?
484,Sheldon," Depending on the depth, that's either a proctologist or a general surgeon.  Oh!"
485,Penny, God!
486,Leonard," Okay, look, no Penny, I think what you're feeling is perfectly valid, and maybe a little bit later today when you're feeling a little bit less, for lack of a better word, violated, maybe we could talk about this some more."
487,Penny, Stay away from me.
488,Leonard," Sure, that's another way to go."
489,Sheldon," Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm.  Well that was a little non-responsive."
490,Leonard, You are going to march yourself over there right now and apologise.  What's funny?
491,Sheldon, That wasn't sarcasm?
492,Leonard, No.
493,Sheldon," Wooh, boy, you are all over the place this morning.  I have a masters and two PhD's, I should not have to do this."
494,Penny, What?
495,Sheldon," I am truly sorry for what happened last night, I take full responsibility. And I hope that it won't colour your opinion of Leonard, who is not only a wonderful guy, but also, I hear, a gentle and thorough lover.  I did what I could."
496,Penny," Hey Raj.  Hey, listen, I don't know if you heard about what happened last night with Leonard and Sheldon, but I'm really upset about it, I mean they just, they let themselves into my place, and then they cleaned it, I mean can you even believe that? How weird is that?"
497,Raj," Ooh, she's standing very close to me. Oh my, she does smell good. What is that, vanilla?"
498,Penny," You know, where I come from, someone comes into your house at night, you shoot, okay? And you don't shoot to wound. I mean, alright, my sister shot her husband, but it was an accident, they were drunk. What was I saying?"
499,Raj," She's so chatty. Maybe my parents are right. Maybe I'd be better off with an Indian girl. We'd have the same cultural background, and my wife would sing to my children the same lullabies my mother sang to me."
500,Penny," It's obvious that they meant well, but I'm just, I'm having a really rough time, like I said, I broke up with my boyfriend, and it's just freaking me out."
501,Penny," I mean, just because most of the men I've known in my life happen to be jerks, doesn't mean I should just assume Leonard and Sheldon are. Right?"
502,Raj, She asked me a question. I should probably nod.
503,Penny, That's exactly what I thought. Thank you for listening. You're a doll.
504,Raj, Oh-oh. Turn your pelvis.
505,Howard," Grab a napkin, homie. You just got served."
506,Leonard, It's fine. You win.
507,Howard, What's his problem?
508,Sheldon, His imaginary girlfriend broke up with him.
509,Howard, Been there.
510,Raj," Hello. Sorry I'm late. But I was in the hallway, chatting up Penny."
